,R²,RMSE,std_obs07,p-value wilconox,MAE,BIC,p-value shapiro,IVM
L10-6,0.2704981726037812,0.1753721234332815,0.14415901749795604,0.0005852293124858612,0.13868107204226968,-1001.4799394259999,0.01030187102853005,No Válido
L10-7,0.20213682962900448,0.16205099863965783,0.12737662399380462,0.0012193954959825054,0.12606703826005522,-943.194344829093,0.00013464494927859828,No Válido
L10-8,0.862676712486732,0.07629823315704247,0.14455623568381082,0.02372048916859407,0.05511379935650699,-1021.3466757347946,0.0005517662534631685,No Válido
L10-9,-0.14655839066937637,0.1761692982209612,0.11551393207702641,1.863892485450646e-20,0.15245189922545174,-1302.0238445819914,1.835195057477089e-05,No Válido
LM-05,0.9412915407706225,0.004484698349387125,0.013117252184767496,0.6534846488639232,0.0033463433035582813,-405.53608616364147,0.16528970369325446,Válido
LM-06,0.04015129435446885,0.013995316793765538,0.010078574117903092,0.02974729010676731,0.006330763545939533,-500.696008004545,4.521668377354777e-14,No Válido
LM-07,0.09445645551935566,0.016156178544102992,0.011956777138595099,0.05772558005900868,0.006354031267992139,-636.4462744084857,4.7842940058944246e-17,No Válido
LM-08,0.011763346454154888,0.012358347731405045,0.008769900446752753,0.09498346428648784,0.005353687411353838,-525.979107239364,2.9347896145465404e-14,No Válido
LM-09,0.37925276070252933,0.03777712821133345,0.03376053688685947,0.33369587023899905,0.026032289946659487,-533.888938190052,3.436300047415641e-08,No Válido
LM-10,0.10667393007221004,0.04505447577766467,0.033589778598795986,0.8602703818731366,0.025958772551605665,-450.5357521136861,1.419860033771375e-09,No Válido
LM-17,-0.1993897842895498,0.1757258149427719,0.11364831889473495,0.24666774105321565,0.16463558210344398,-185.40906917873642,0.0009459282730638881,No Válido
MP-07A,0.33159560661922527,0.05950870497553128,0.051170873157017065,0.4504014808495487,0.04879609812567449,-780.9997391423209,0.27306631085569005,No Válido
MP-07C-1,0.288168547649187,0.042808700618345005,0.03567563479662562,0.6894174183229225,0.03616554825709974,-794.6931702914075,0.1612132824131386,No Válido
MP-08A,0.30763250336428005,0.05332493779836832,0.04503916473471677,0.801041944553077,0.04214190907147881,-831.720954429344,0.30839849404098235,No Válido
MPS-AA,0.00702602412490283,0.034484540279611314,0.024318140787834498,0.8135456102654263,0.02491250804270329,-978.0876101390053,4.769828316937026e-10,No Válido
MPS-AB,0.201285682244549,0.03135612421652089,0.024655541870180705,0.6851186310582325,0.022063807160471457,-941.1880067789845,3.797618229320624e-07,No Válido
MPS-AC,0.011226728380619333,0.03310532179454178,0.02339577117277155,0.5798665542913028,0.023608349409680738,-937.2905568850108,2.368721047199442e-08,No Válido
MPS-CA,0.07523748552838949,0.20076274046218834,0.14671319369809027,0.3064949086221964,0.1570529686466564,-572.8780884014449,0.00022531195023858802,No Válido
MPS-CB,0.0747421042613754,0.21487876235035644,0.15698684387897294,0.24198095536074626,0.16539907333592652,-560.4951312269955,0.0025835243156091346,No Válido
MPS-CC,-0.036864640256928816,0.23173208979376353,0.15992866443103945,0.0253871076097672,0.18409599775320729,-578.9673144073508,0.007874059185529953,No Válido
PN-03,0.1715284530666341,0.2310925724130987,0.1784058947360462,0.44839887675805723,0.19850887145569943,-653.6643102398272,0.004024154929621544,No Válido
PN-04,-0.4614331770934208,0.3161686283378686,0.18386169952044804,0.0001181738436222481,0.2814306610154908,-566.5765364591455,7.849068391148348e-05,No Válido
PN-07,0.006134048846228257,0.24864362746983693,0.1753250389196792,0.11768412297808127,0.2065350881218074,-607.204313866764,0.00614800205220553,No Válido
PN-08A,0.022382468011865275,0.2403610688962741,0.1706827957613711,0.07814693872230613,0.20009611481426906,-838.0718489686496,0.02488208085316927,No Válido
PN-09,0.0010858008497592886,0.24865604190695892,0.17484352391929528,0.05955937241307575,0.21386783380672555,-660.1322872504378,0.014595626140929525,No Válido
PP-01,0.07153385506275467,0.06427428928185959,0.04687945486978385,0.3761353404454908,0.05170594144386534,-712.8740349482778,3.177375065636978e-05,No Válido
PP-03,0.16382554623812184,0.042465980812940014,0.032637810588341344,0.9640728158061964,0.03369774682798942,-858.5080974622186,0.023068473619608346,No Válido
REGLILLA INTERNA CONAF,0.5219209525213908,0.021735529701128575,0.022292507349762555,0.6536581539767212,0.01576480867033052,-258.3474570359704,0.07276962210855063,No Válido
REGLILLA SALADA CONAF,0.31763994551881247,0.0062264952916340965,0.005316798432443966,0.05490611620456789,0.0045539335003054885,-642.2493157883162,0.005613506479176495,No Válido
REGLILLA SALADITA CONAF,0.6933093773354375,0.007273760692117007,0.009255962188575466,0.9789360735694488,0.005499110041691893,-700.3894612392147,0.43135868744455264,Válido
Zanja Camino a Peine,0.5782395283436335,0.17303986759793652,0.1868051323683762,1.1811539616436098e-05,0.13899763460162873,-1970.850302076894,0.001481057039075978,No Válido
Summary,,,,,,,,Total Válidos: 4
